App,Package,Start Time,Duration,Filename
"System",,"Jan. 6, 2018 @ 12:02:03 vorm.","7 min 14 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
48854,46,48754,1586000,48755,3544356,48864,32,
48959,38,48854,1586000,48855,3538364,48989,30,
49055,37,48964,1586000,48965,3537744,49065,25,
49158,35,49055,1586000,49056,3539728,49198,28,
49256,53,49162,1586000,49168,3543200,49282,38,
49356,40,49257,1586000,49266,3542712,49366,29,
49457,27,49357,1586000,49358,3542068,49480,14,
49557,24,49458,1586000,49459,3542812,49580,21,
49657,38,49557,1586000,49558,3543804,49677,23,
49758,39,49658,1586000,49660,3537788,49786,27,
49858,34,49758,1378000,49760,3539432,49878,22,
49958,25,49858,1586000,49859,3541752,49982,18,
50060,21,49959,1586000,49960,3543984,50083,16,
50159,28,50060,1586000,50061,3544728,50180,20,
50260,29,50159,1586000,50161,3540016,50277,22,
50360,35,50260,1586000,50261,3539024,50379,24,
50462,43,50361,1586000,50361,3540512,50491,31,
50561,30,50463,1586000,50464,3542996,50576,23,
50662,46,50562,1586000,50562,3545724,50690,32,
50762,38,50663,1586000,50664,3546716,50781,31,
50862,39,50762,1586000,50763,3536708,50881,27,
50963,45,50863,1586000,50864,3537512,50993,34,
51063,34,50964,1586000,50965,3537860,51074,24,
51164,36,51064,1586000,51065,3537024,51184,24,
51264,36,51165,1586000,51166,3536432,51294,25,
51365,28,51264,1586000,51265,3530316,51391,20,
51464,28,51365,1586000,51366,3532728,51484,19,
51565,28,51465,1586000,51466,3532728,51584,23,
51665,24,51566,1586000,51567,3537044,51687,17,
51765,25,51666,1586000,51667,3535184,51794,19,
51866,32,51766,1586000,51767,3534612,51885,23,
51966,29,51866,1586000,51867,3533776,51983,21,
52066,28,51967,1586000,51968,3527760,52087,20,
52167,36,52067,1586000,52068,3528172,52185,27,
52268,30,52168,1586000,52169,3532008,52294,21,
52368,50,52268,1586000,52270,3533000,52395,37,
52468,51,52369,1586000,52370,3534984,52486,37,
52569,35,52469,1586000,52470,3518016,52589,25,
52669,47,52569,1586000,52570,3519416,52692,36,
52769,39,52670,1586000,52671,3520284,52787,27,
52870,34,52770,1586000,52771,3515184,52886,24,
