App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 08:48:31 nachm.","6 min 40 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
149647,40,149648,1586000,149649,3501868,149866,40,
149750,54,149751,1586000,149755,3502860,149972,38,
149850,68,149851,1586000,149852,3502024,150068,35,
149949,65,149950,1586000,149952,3501588,150166,31,
150049,60,150049,1586000,150053,3495236,150278,39,
150149,45,150150,1586000,150151,3493560,150367,37,
150250,67,150252,1586000,150254,3502948,150467,41,
150350,66,150351,1586000,150352,3504152,150574,30,
150451,63,150451,1586000,150453,3504504,150671,41,
150551,48,150552,1586000,150554,3506024,150769,47,
150651,67,150652,1586000,150655,3506768,150874,24,
150752,77,150752,1586000,150754,3505176,150971,34,
150852,40,150853,1586000,150858,3504212,151073,26,
150953,59,150953,1586000,150954,3504780,151179,35,
151053,41,151053,1586000,151054,3505244,151275,35,
151154,63,151156,1378000,151162,3503124,151372,36,
151254,87,151255,1586000,151256,3494820,151475,23,
151354,0,151355,1586000,151356,3495544,151573,33,
151454,37,151455,1586000,151456,3497604,151679,50,
151555,55,151555,1482000,151557,3505012,151776,39,
151655,87,151656,1586000,151657,3505508,151875,34,
151756,0,151756,1586000,151758,3507004,151972,33,
151856,87,151856,1586000,151858,3506140,152083,44,
151956,0,151957,1586000,151958,3506116,152176,41,
152057,87,152057,1586000,152058,3506612,152281,47,
152158,0,152158,1586000,152159,3506932,152381,41,
152258,77,152259,1586000,152260,3507860,152492,44,
152361,67,152362,1586000,152363,3506724,152573,51,
152462,73,152462,1586000,152464,3527420,152688,40,
152562,81,152563,1586000,152564,3531596,152785,44,
152663,71,152664,1586000,152666,3530516,152881,28,
152763,71,152764,1586000,152765,3524580,152983,35,
152863,44,152864,1586000,152865,3525484,153083,40,
152965,59,152965,1586000,152966,3534720,153184,32,
153065,66,153066,1586000,153067,3535216,153284,32,
153165,53,153166,1482000,153167,3535028,153388,27,
153266,65,153267,1378000,153268,3535824,153490,46,
153367,46,153367,1586000,153368,3537236,153594,52,
153469,74,153469,1586000,153472,3536216,153694,41,
153569,83,153569,1586000,153571,3536060,153788,42,
153669,70,153670,1586000,153671,3540028,153891,40,
153770,68,153771,1586000,153772,3532288,153992,31,
153870,63,153871,1586000,153872,3535544,154089,45,
153971,52,153971,1586000,153973,3537776,154190,21,
154071,77,154072,1586000,154073,3534784,154292,36,
154172,41,154172,1586000,154174,3536024,154389,25,
154272,63,154272,1586000,154273,3536224,154492,28,
154372,41,154373,1586000,154374,3538456,154596,46,
154473,53,154474,1378000,154475,3531412,154690,32,
154575,78,154576,1586000,154577,3540240,154793,40,
154673,50,154674,1586000,154675,3537480,154893,29,
154774,69,154774,1586000,154776,3538028,154993,31,
154874,46,154875,1586000,154876,3537112,155099,35,
154975,51,154976,1586000,154977,3542980,155196,38,
155075,65,155076,1274000,155077,3537140,155299,48,
155176,62,155176,1586000,155178,3537584,155405,39,
155276,71,155277,1586000,155278,3539364,155499,47,
155377,59,155377,1586000,155379,3541116,155596,43,
155477,77,155478,1586000,155479,3548616,155719,44,
155577,72,155578,1586000,155579,3536464,155787,53,
155678,68,155679,1586000,155680,3537164,155898,30,
155778,87,155778,1586000,155779,3535204,156000,79,
155880,0,155880,1586000,155882,3541872,156099,35,
155980,87,155981,1586000,155982,3545188,156202,43,
156081,0,156081,1586000,156082,3544976,156302,35,
156181,87,156182,1586000,156183,3545812,156401,41,
156282,0,156283,1586000,156284,3544728,156501,36,
156382,69,156383,1586000,156385,3536792,156606,36,
156483,59,156483,1586000,156484,3536912,156705,27,
156584,87,156584,1586000,156585,3539016,156804,40,
156684,0,156684,1586000,156686,3540876,156910,34,
156784,63,156785,1586000,156786,3540092,157005,34,
156885,54,156885,1586000,156887,3529664,157122,46,
156985,63,156986,1586000,156987,3528688,157203,35,
157086,72,157087,1586000,157088,3526852,157293,44,
157186,57,157186,1586000,157187,3531224,157408,43,
157286,75,157287,1586000,157287,3537520,157511,45,
157389,66,157389,1586000,157391,3534420,157607,41,
157488,76,157489,1586000,157490,3536672,157707,29,
157588,62,157589,1586000,157590,3538884,157810,38,
157689,50,157690,1586000,157691,3539628,157910,31,
157789,63,157790,1586000,157793,3540124,158008,37,
157889,55,157890,1586000,157892,3540868,158107,32,
157990,64,157992,1586000,157994,3537964,158216,31,
158090,54,158091,1586000,158092,3523472,158313,38,
158191,50,158191,1274000,158196,3533128,158410,30,
158291,72,158292,1586000,158293,3541984,158515,37,
158392,53,158393,1586000,158394,3530360,158613,30,
158493,62,158493,1586000,158499,3528776,158710,23,
158593,51,158594,1586000,158595,3529708,158827,33,
158694,37,158694,1586000,158695,3531196,158911,52,
158794,62,158795,1586000,158799,3540132,159031,55,
158894,80,158894,1586000,158895,3541124,159116,42,
158996,74,158997,1586000,159001,3523616,159231,36,
159095,87,159095,1586000,159096,3523440,159307,47,
159203,0,159204,1586000,159205,3524184,159420,34,
159300,75,159300,1586000,159301,3523152,159522,41,
159401,60,159402,1586000,159403,3521172,159630,31,
159501,69,159502,1586000,159504,3519672,159728,29,
159602,53,159603,1586000,159604,3521656,159830,45,
159702,45,159703,1586000,159706,3519244,159921,31,
159804,76,159804,1586000,159805,3516696,160027,32,
159904,57,159904,1586000,159905,3517608,160138,32,
160004,58,160004,1378000,160006,3516332,160225,24,
160107,60,160116,1274000,160117,3516440,160331,37,
160207,36,160208,1586000,160209,3514124,160432,36,
