App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 09:15:02 nachm.","7 min 20 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
166880,24,166780,1586000,166782,3517708,166795,20,
166981,31,166881,1482000,166882,3518452,166898,18,
167082,30,166982,1378000,166984,3519692,167000,18,
167182,33,167082,1378000,167085,3517476,167100,17,
167283,39,167183,1170000,167184,3517724,167206,20,
167383,20,167284,1274000,167285,3513984,167301,23,
167485,41,167384,1170000,167385,3513096,167403,11,
167585,21,167485,1378000,167487,3518180,167503,24,
167686,28,167586,1170000,167587,3518152,167612,14,
167786,25,167687,858000,167689,3519188,167711,15,
167887,37,167787,1170000,167788,3519684,167815,14,
167992,29,167888,1170000,167890,3519444,167909,25,
168088,34,167993,1066000,167995,3518064,168013,18,
168189,18,168088,1378000,168090,3518808,168107,19,
168290,25,168189,1170000,168191,3518808,168218,12,
168392,14,168291,1170000,168292,3519056,168313,14,
168491,40,168392,1170000,168394,3519544,168421,11,
168592,27,168491,1378000,168492,3517056,168509,23,
168692,32,168593,1274000,168594,3515776,168612,16,
168791,35,168692,1586000,168693,3515856,168717,22,
168893,41,168792,1586000,168793,3516832,168815,26,
168993,40,168894,1586000,168895,3517824,168928,25,
169093,24,168993,1586000,168994,3516460,169012,28,
169193,18,169094,1170000,169095,3519684,169113,17,
169295,26,169193,1378000,169194,3519916,169209,12,
169395,27,169296,1378000,169297,3520660,169312,15,
169495,24,169396,1170000,169397,3519084,169413,17,
169594,27,169497,1170000,169498,3519580,169516,13,
169695,31,169595,1170000,169596,3519240,169617,17,
169795,28,169695,1586000,169698,3519344,169712,19,
169895,29,169795,1482000,169797,3519560,169812,20,
169996,13,169897,1482000,169899,3515964,169915,20,
170097,25,169997,1378000,169998,3516212,170013,9,
170197,31,170099,1274000,170100,3519492,170116,17,
170297,29,170198,1170000,170199,3519740,170221,19,
170399,28,170298,1378000,170299,3519448,170318,16,
170499,33,170399,1170000,170401,3520136,170416,16,
170599,36,170499,1170000,170502,3521048,170522,19,
170699,29,170599,1378000,170601,3521296,170625,21,
170800,25,170700,1586000,170701,3520552,170718,22,
170900,17,170801,1274000,170802,3521504,170818,16,
171001,25,170901,1170000,170902,3521604,170919,8,
171101,21,171002,1482000,171003,3520964,171019,16,
171202,40,171102,1170000,171103,3516276,171121,11,
171303,19,171202,1482000,171203,3514844,171218,24,
171403,32,171303,1274000,171304,3517016,171322,13,
171503,32,171403,1274000,171405,3517452,171420,18,
171603,21,171504,1378000,171505,3517700,171523,18,
171704,25,171604,1482000,171605,3518196,171619,15,
171805,15,171704,1586000,171705,3520924,171723,18,
171905,32,171805,1170000,171806,3521148,171821,11,
172005,37,171905,1378000,171906,3521396,171925,18,
172106,27,172006,1170000,172007,3516760,172024,20,
172209,33,172106,1170000,172107,3516120,172125,15,
172307,35,172209,1378000,172211,3516572,172226,20,
172407,33,172308,1586000,172309,3517068,172325,23,
172508,28,172408,1586000,172409,3517216,172423,23,
172608,12,172508,1378000,172509,3520688,172529,16,
172708,28,172609,1170000,172610,3520936,172624,10,
172808,30,172709,1170000,172710,3521420,172730,15,
172909,18,172809,1482000,172810,3520608,172827,19,
173010,20,172910,1170000,172911,3514392,172929,13,
173110,33,173011,1170000,173012,3516584,173029,12,
173211,29,173111,1378000,173112,3517576,173131,21,
173311,32,173211,1378000,173212,3518320,173227,17,
173411,33,173312,1378000,173313,3517880,173336,18,
173512,23,173412,1378000,173413,3521104,173427,21,
173613,39,173512,1170000,173514,3521104,173536,12,
173713,31,173614,1274000,173615,3521352,173629,22,
173813,27,173713,1274000,173714,3520312,173730,18,
173913,36,173814,1170000,173815,3520732,173835,15,
174014,33,173914,1170000,173915,3521176,173933,21,
174114,36,174015,1586000,174016,3521424,174031,22,
174215,19,174115,1482000,174116,3522168,174130,24,
174315,21,174216,1170000,174217,3522416,174233,12,
174421,24,174316,1170000,174317,3522416,174333,11,
174517,31,174423,1170000,174424,3521380,174440,16,
174617,24,174517,1170000,174519,3518868,174536,17,
174718,22,174619,1170000,174620,3515980,174637,14,
174819,26,174718,1170000,174719,3516040,174738,13,
174918,40,174821,1170000,174822,3518148,174838,17,
175018,25,174918,1586000,174919,3517312,174934,26,
175118,33,175019,1586000,175020,3517808,175036,18,
175221,22,175119,1482000,175120,3520556,175135,22,
175320,40,175221,1170000,175227,3523052,175254,16,
175420,40,175321,1378000,175322,3526784,175337,24,
175520,18,175420,1274000,175422,3526080,175438,23,
175621,33,175521,1170000,175522,3526080,175538,11,
