Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
34519,310000,43579,37,43581,100,43592,1361460,149612.457627119,43624,100
34571,310000,43631,0,43633,90,43645,1355372,143524.457627119,43659,87
34672,310000,43732,0,43734,100,43748,1354288,142440.457627119,43761,100
34772,310000,43833,0,43835,94,43893,1354648,142800.457627119,43917,96
34883,310000,43942,0,43944,95,43947,1353700,141852.457627119,43975,93
34935,310000,44000,0,44002,100,44007,1353692,141844.457627119,44057,100
35089,310000,44157,0,44158,87,44159,1355944,144096.457627119,44168,85
35192,310000,44252,0,44253,100,44254,1360476,148628.457627119,44296,100
35292,310000,44353,0,44354,92,44356,1356516,144668.457627119,44370,91
35393,310000,44453,0,44454,97,44455,1355180,143332.457627119,44462,97
35498,310000,44558,0,44560,95,44560,1354340,142492.457627119,44596,95
35556,310000,44616,0,44618,100,44619,1354208,142360.457627119,44649,100
35656,310000,44716,35,44718,91,44721,1353116,141268.457627119,44734,92
35769,310000,44829,35,44830,89,44831,1359472,147624.457627119,44881,88
35901,310000,44961,35,44963,100,44989,1362572,150724.457627119,45057,100
36000,310000,45060,35,45063,100,45065,1356948,145100.457627119,45091,100
36102,310000,45162,35,45163,95,45164,1355008,143160.457627119,45173,95
36209,310000,45269,35,45270,95,45271,1357432,145584.457627119,45311,95
36315,310000,45375,35,45376,97,45383,1355720,143872.457627119,45399,97
36366,310000,45426,35,45428,95,45431,1355704,143856.457627119,45460,95
36466,200000,45526,35,45548,93,45559,1356372,144524.457627119,45571,94
36569,200000,45629,35,45631,100,45632,1358852,147004.457627119,45717,100
36670,200000,45729,39,45731,100,45732,1356992,145144.457627119,45741,100
36773,200000,45833,39,45835,97,45836,1356268,144420.457627119,45859,97
36880,200000,45941,39,45942,100,45943,1358020,146172.457627119,45983,100
36978,310000,46039,39,46041,100,46060,1355808,143960.457627119,46077,100
37079,310000,46139,39,46141,97,46148,1355224,143376.457627119,46163,94
37180,310000,46240,39,46275,94,46276,1358124,146276.457627119,46287,95
37281,310000,46341,39,46409,100,46410,1366864,155016.457627119,46415,100
37382,310000,46442,39,46447,100,46473,1360892,149044.457627119,46506,100
37483,310000,46543,39,46548,100,46549,1356860,145012.457627119,46576,100
37587,310000,46649,39,46686,98,46687,1359472,147624.457627119,46728,98
37687,310000,46747,39,46751,100,46753,1357732,145884.457627119,46777,100
37790,310000,46850,33,46852,94,46854,1358064,146216.457627119,46900,95
37949,200000,47009,33,47010,92,47011,1360080,148232.457627119,47016,90
38050,200000,47110,33,47112,100,47113,1364420,152572.457627119,47175,100
38151,310000,47211,33,47212,100,47213,1362188,150340.457627119,47220,100
38253,310000,47313,33,47314,95,47315,1359976,148128.457627119,47336,95
38380,310000,47440,33,47441,98,47442,1360860,149012.457627119,47464,98
38472,310000,47532,33,47534,97,47535,1358240,146392.457627119,47564,97
38570,200000,47631,33,47632,82,47635,1357864,146016.457627119,47653,82
38674,200000,47734,33,47736,100,47737,1362444,150596.457627119,47766,100
38775,200000,47835,33,47836,100,47881,1367680,155832.457627119,47897,100
38879,310000,47939,33,47949,95,47950,1358772,146924.457627119,48016,93
38983,310000,48043,41,48077,98,48078,1360860,149012.457627119,48104,98
39106,310000,48166,41,48174,100,48176,1360652,148804.457627119,48209,100
39197,310000,48257,41,48263,100,48265,1360148,148300.457627119,48282,100
39237,310000,48297,41,48299,100,48301,1360644,148796.457627119,48332,100
39338,310000,48398,41,48399,76,48400,1358272,146424.457627119,48409,76
